code	Item
017.6	Offal (excl. liver) of bovine animals (excl. dried, salted, in brine or smoked), put up in airtight packings
017.6	Paste, meat, of bovine animals
017.6	Pâté, meat, of bovine animals
017.6	Rillettes, of meat of bovine animals
017.9	Galantines, not put up in sausage casings, of meat of any animal of group 001 (excl. of poultry, swine and bovine animals)
017.9	Meals, containing more than 20% by weight of meat, meat offal or blood (excl. of poultry, swine and bovine animals)
017.9	Meat, of asses (salted, in brine or smoked), put up in airtight packings
017.9	Meat, of asses, truffled or seasoned (excl. that simply salted or in brine)
017.9	Meat, of goats (excl. dried, salted, in brine or smoked) put up in airtight packings
017.9	Meat, of goats, truffled or seasoned (excl. simply salted or in brine)
017.9	Meat, of hinnies (excl. dried, salted, in brine or smoked), put up in airtight packings
017.9	Meat, of hinnies, truffled or seasoned (excl. simply salted or in brine)
017.9	Meat, of horses (excl. dried, salted, in brine or smoked), put up in airtight packings
017.9	Meat, of mules (excl. dried, salted, in brine or smoked), put up in airtight packings
017.9	Meat, of mules, truffled or seasoned (excl. simply salted or in brine)
017.9	Meat, of rabbits (excl. dried, salted, in brine or smoked), put up in airtight packings
017.9	Meat, of rabbits, truffled or seasoned (excl. simply salted or in brine)
017.9	Mutton (excl. dried, salted, in brine or smoked), put up in airtight packings
017.9	Mutton, truffled or seasoned (excl. simply salted or in brine)
017.9	Offal, of meat (excl. liver), not dried, salted, in brine or smoked, put up in airtight packings
017.9	Paste, of meat of any animal of group 001 (excl. of poultry, swine and bovine animals), not put up in in sausage casings
017.9	Pâté, of meat of any animal of group 001 (excl. of poultry, swine and bovine animals), not put up in sausage casings
017.9	"Preparations of blood (excl. ""black puddings"" and ""white puddings"")"
017.9	Rillettes, not put up in sausage casings, of meat of any animal of group 001 (excl. of poultry, swine and bovine animals)
022.11	Milk, fresh, enriched by the addition of natural milk constituents, not concentrated or sweetened, of a fat content, by weight, not exceeding 1%
022.11	Milk, fresh, enriched in vitamins or mineral salts, not concentrated or sweetened, of a fat content, by weight, not exceeding 1%
022.11	Milk, frozen, not concentrated or sweetened, of a fat content, by weight, not exceeding 1%
